iter	Passed	Remaining
414	2978	4198
415	2984	4189
416	2989	4180
417	2995	4171
418	3001	4161
419	3006	4152
420	3012	4143
421	3018	4134
422	3024	4125
423	3031	4117
424	3038	4111
425	3045	4103
426	3051	4094
427	3057	4085
428	3062	4076
429	3068	4067
430	3074	4058
431	3080	4049
432	3085	4040
433	3091	4031
434	3097	4023
435	3103	4014
436	3109	4006
437	3115	3997
438	3120	3987
439	3126	3979
440	3132	3970
441	3138	3961
442	3144	3953
443	3149	3944
444	3155	3935
445	3161	3927
446	3167	3918
447	3172	3909
448	3178	3900
449	3183	3891
450	3189	3882
451	3195	3873
452	3200	3864
453	3206	3855
454	3211	3846
455	3217	3838
456	3223	3830
457	3229	3821
458	3234	3812
459	3240	3804
460	3246	3795
461	3252	3787
462	3258	3779
463	3263	3770
464	3269	3761
465	3274	3752
466	3280	3743
467	3285	3734
468	3291	3726
469	3296	3717
470	3302	3709
471	3308	3700
472	3313	3692
473	3319	3683
474	3324	3674
475	3330	3665
476	3336	3658
477	3342	3650
478	3348	3641
479	3354	3633
480	3359	3625
481	3365	3616
482	3370	3608
483	3376	3599
484	3381	3590
485	3387	3583
486	3393	3574
487	3398	3565
488	3404	3557
489	3410	3549
490	3415	3540
491	3421	3532
492	3427	3524
493	3432	3516
494	3438	3507
495	3443	3499
496	3449	3490
497	3455	3483
498	3461	3474
499	3467	3467
500	3472	3458
501	3477	3450
502	3483	3442
503	3489	3434
504	3495	3426
505	3501	3418
506	3506	3409
507	3512	3402
508	3518	3394
509	3524	3386
510	3530	3378
511	3536	3370
512	3541	3362
513	3547	3354
514	3554	3347
515	3560	3339
516	3566	3332
517	3572	3324
518	3578	3316
519	3584	3309
520	3590	3300
521	3595	3292
522	3602	3285
523	3608	3277
524	3614	3270
525	3620	3262
526	3626	3255
527	3633	3248
528	3639	3240
529	3645	3232
530	3651	3225
531	3658	3218
532	3664	3211
533	3671	3203
534	3676	3195
535	3683	3188
536	3690	3181
537	3696	3174
538	3703	3167
539	3708	3159
540	3715	3152
541	3722	3145
542	3728	3137
543	3734	3130
544	3739	3122
545	3746	3115
546	3752	3107
547	3757	3099
548	3764	3092
549	3769	3084
550	3775	3076
551	3781	3069
552	3787	3061
553	3793	3053
554	3799	3046
555	3805	3038
556	3811	3031
557	3817	3023
558	3822	3015
559	3830	3009
560	3836	3002
561	3842	2994
562	3848	2987
563	3854	2979
564	3860	2972
565	3866	2964
566	3872	2957
567	3878	2949
568	3884	2942
569	3890	2934
570	3895	2926
571	3901	2919
572	3907	2911
573	3912	2903
574	3917	2895
575	3923	2888
576	3928	2880
577	3934	2872
578	3940	2865
579	3946	2857
580	3952	2850
581	3957	2842
582	3963	2834
583	3969	2827
584	3974	2819
585	3979	2811
586	3985	2804
587	3991	2796
588	3996	2788
589	4002	2781
590	4008	2774
591	4015	2767
592	4023	2761
593	4029	2754
594	4036	2747
595	4042	2740
596	4049	2733
597	4057	2727
598	4065	2721
599	4071	2714
600	4078	2707
601	4085	2700
602	4091	2693
603	4097	2686
604	4104	2679
605	4110	2672
606	4116	2665
607	4122	2657
608	4127	2650
609	4133	2642
610	4139	2635
611	4144	2627
612	4150	2620
613	4155	2612
614	4161	2605
615	4167	2597
616	4172	2590
617	4178	2582
618	4183	2575
619	4189	2567
620	4196	2561
621	4202	2553
622	4207	2546
623	4213	2539
624	4219	2531
625	4224	2524
626	4231	2517
627	4236	2509
628	4242	2502
629	4248	2495
630	4253	2487
631	4259	2480
632	4265	2473
633	4271	2466
634	4278	2459
635	4284	2451
636	4290	2444
637	4296	2437
638	4302	2430
639	4308	2423
640	4314	2416
641	4321	2409
642	4328	2403
643	4334	2396
644	4343	2390
645	4349	2383
646	4355	2376
647	4362	2369
648	4368	2362
649	4374	2355
650	4381	2348
651	4387	2341
652	4393	2334
653	4400	2327
654	4406	2320
655	4412	2313
656	4418	2306
657	4423	2299
658	4429	2292
659	4435	2284
660	4441	2277
661	4447	2270
662	4452	2263
663	4459	2256
664	4465	2249
665	4472	2242
666	4477	2235
667	4483	2228
668	4490	2221
669	4496	2214
670	4502	2207
671	4508	2200
672	4514	2193
673	4521	2186
674	4527	2179
675	4533	2172
676	4540	2166
677	4546	2159
678	4552	2152
679	4558	2145
680	4564	2138
681	4571	2131
682	4577	2124
683	4582	2117
684	4588	2110
685	4594	2103
686	4600	2096
687	4606	2089
688	4612	2082
689	4619	2075
690	4624	2068
691	4630	2060
692	4636	2053
693	4641	2046
694	4647	2039
695	4653	2032
696	4658	2025
697	4664	2018
698	4671	2011
699	4677	2004
700	4683	1997
701	4689	1990
702	4695	1983
703	4701	1976
704	4706	1969
705	4712	1962
706	4717	1955
707	4723	1948
708	4728	1940
709	4734	1934
710	4740	1926
711	4746	1919
712	4752	1912
713	4757	1905
714	4763	1898
715	4768	1891
716	4774	1884
717	4779	1877
718	4785	1870
719	4791	1863
720	4797	1856
721	4802	1849
722	4808	1842
723	4815	1835
724	4821	1828
725	4826	1821
726	4832	1814
727	4838	1807
728	4843	1800
729	4849	1793
730	4855	1786
731	4860	1779
732	4867	1772
733	4872	1765
734	4879	1759
735	4884	1752
736	4890	1745
737	4897	1738
738	4903	1731
739	4909	1724
740	4915	1718
741	4921	1711
742	4927	1704
743	4933	1697
744	4939	1690
745	4946	1684
746	4952	1677
747	4958	1670
748	4964	1663
749	4970	1656
750	4977	1650
751	4983	1643
752	4991	1637
753	4999	1631
754	5007	1624
755	5013	1618
756	5019	1611
757	5026	1604
758	5032	1597
759	5037	1590
760	5044	1584
761	5049	1577
762	5055	1570
763	5061	1563
764	5066	1556
765	5072	1549
766	5079	1543
767	5085	1536
768	5092	1529
769	5097	1522
770	5103	1515
771	5108	1508
772	5114	1501
773	5119	1494
774	5125	1488
775	5131	1481
776	5136	1474
777	5142	1467
778	5148	1460
779	5154	1453
780	5159	1446
781	5165	1439
782	5172	1433
783	5177	1426
784	5183	1419
785	5189	1412
786	5194	1405
787	5200	1399
788	5206	1392
789	5212	1385
790	5217	1378
791	5223	1371
792	5228	1364
793	5234	1358
794	5240	1351
795	5245	1344
796	5251	1337
797	5257	1330
798	5262	1323
799	5268	1317
800	5274	1310
801	5280	1303
802	5286	1296
803	5291	1290
804	5297	1283
805	5303	1276
806	5308	1269
807	5314	1262
808	5320	1256
809	5326	1249
810	5331	1242
811	5337	1235
812	5342	1228
813	5348	1222
814	5353	1215
815	5359	1208
816	5364	1201
817	5370	1194
818	5376	1188
819	5382	1181
820	5387	1174
821	5393	1167
822	5399	1161
823	5404	1154
824	5410	1147
825	5415	1140
826	5421	1134
827	5426	1127
828	5432	1120
829	5438	1113
830	5444	1107
831	5449	1100
832	5455	1093
833	5460	1086
834	5465	1080
835	5471	1073
836	5476	1066
837	5482	1059
838	5487	1053
839	5493	1046
840	5499	1039
841	5504	1032
842	5510	1026
843	5515	1019
844	5520	1012
845	5527	1006
846	5532	999
847	5538	992
848	5544	986
849	5549	979
850	5555	972
851	5560	965
852	5566	959
853	5572	952
854	5577	945
855	5583	939
856	5588	932
857	5595	926
858	5601	919
859	5607	912
860	5612	906
861	5618	899
862	5623	892
863	5629	886
864	5634	879
865	5640	872
866	5645	866
867	5651	859
868	5656	852
869	5662	846
870	5667	839
871	5673	832
872	5679	826
873	5684	819
874	5690	812
875	5696	806
876	5701	799
877	5707	793
878	5713	786
879	5718	779
880	5724	773
881	5730	766
882	5735	759
883	5741	753
884	5746	746
885	5752	740
886	5757	733
887	5763	726
888	5768	720
889	5774	713
890	5779	707
891	5785	700
892	5791	693
893	5797	687
894	5802	680
895	5808	674
896	5813	667
897	5819	661
898	5825	654
899	5831	647
900	5836	641
901	5842	634
902	5847	628
903	5853	621
904	5859	615
905	5864	608
906	5870	601
907	5876	595
908	5881	588
909	5887	582
910	5892	575
911	5898	569
912	5904	562
913	5909	556
914	5915	549
915	5921	542
916	5926	536
917	5932	529
918	5937	523
919	5943	516
920	5948	510
921	5954	503
922	5960	497
923	5965	490
924	5971	484
925	5976	477
926	5984	471
927	5990	464
928	5996	458
929	6002	451
930	6007	445
931	6013	438
932	6019	432
933	6024	425
934	6031	419
935	6036	412
936	6042	406
937	6049	399
938	6055	393
939	6060	386
940	6067	380
941	6072	373
942	6078	367
943	6084	360
944	6090	354
945	6096	347
946	6102	341
947	6107	335
948	6113	328
949	6118	322
950	6124	315
951	6130	309
952	6135	302
953	6140	296
954	6146	289
955	6152	283
956	6158	276
957	6164	270
958	6169	263
959	6175	257
960	6181	250
961	6186	244
962	6192	237
963	6198	231
964	6203	225
965	6209	218
966	6214	212
967	6220	205
968	6225	199
969	6231	192
970	6236	186
971	6242	179
972	6248	173
973	6254	166
974	6260	160
975	6265	154
976	6271	147
977	6277	141
978	6282	134
979	6288	128
980	6293	121
981	6299	115
982	6304	109
983	6310	102
984	6316	96
985	6322	89
986	6328	83
